,Idade,Especie,Total,Desbastes,QuantCortada,Ciclo de Corte,AnoCortePrevisto,VolSerrArv (m³),VolumeTotal (m³),Preço m³,Valor total
0,4,Cariniana legalis,106,0.1,95.4,35,2054,1.0,95.4,2000,190800.0
1,4,Dalbergia nigra,87,0.45,47.85,45,2064,0.6,28.71,5000,143550.0
2,4,Handroanthus serratifolius,142,0.1,127.8,45,2064,0.7,89.46,2500,223650.0
3,4,Khaya grandifoliola,128,0.3,89.6,18,2037,0.8,71.68,2000,143360.0
4,4,Khaya ivorensis,117,0.3,81.9,18,2037,0.8,65.52,2000,131040.0
5,4,Plathymenia reticulata,98,0.3,68.6,30,2049,0.7,48.02,2000,96040.0
6,5,Cariniana legalis,44,0.1,39.6,35,2053,1.0,39.6,2000,79200.0
7,5,Dalbergia nigra,51,0.45,28.05,45,2063,0.6,16.83,5000,84150.0
8,5,Handroanthus serratifolius,70,0.1,63.0,45,2063,0.7,44.1,2500,110250.0
9,5,Khaya grandifoliola,45,0.3,31.5,18,2036,0.8,25.2,2000,50400.0
10,5,Khaya ivorensis,46,0.3,32.2,18,2036,0.8,25.76,2000,51520.0
11,5,Plathymenia reticulata,52,0.3,36.4,30,2048,0.7,25.48,2000,50960.0
12,6,Cariniana legalis,25,0.1,22.5,35,2052,1.0,22.5,2000,45000.0
13,6,Dalbergia nigra,109,0.45,59.95,45,2062,0.6,35.97,5000,179850.0
14,6,Handroanthus serratifolius,25,0.1,22.5,45,2062,0.7,15.75,2500,39375.0
15,6,Khaya grandifoliola,271,0.3,189.7,18,2035,0.8,151.76,2000,303520.0
16,6,Khaya ivorensis,36,0.3,25.2,18,2035,0.8,20.16,2000,40320.0
17,6,Plathymenia reticulata,111,0.3,77.7,30,2047,0.7,54.39,2000,108780.0
18,7,Cariniana legalis,14,0.1,12.6,35,2051,1.0,12.6,2000,25200.0
19,7,Dalbergia nigra,258,0.45,141.9,45,2061,0.6,85.14,5000,425700.0
20,7,Handroanthus serratifolius,258,0.1,232.2,45,2061,0.7,162.54,2500,406350.0
21,7,Khaya grandifoliola,504,0.3,352.8,18,2034,0.8,282.24,2000,564480.0
22,7,Khaya ivorensis,779,0.3,545.3,18,2034,0.8,436.24,2000,872480.0
23,7,Plathymenia reticulata,264,0.3,184.8,30,2046,0.7,129.36,2000,258720.0
24,8,Dalbergia nigra,7,0.45,3.85,45,2060,0.6,2.31,5000,11550.0
25,8,Handroanthus serratifolius,1,0.1,0.9,45,2060,0.7,0.63,2500,1575.0
26,8,Khaya grandifoliola,108,0.3,75.6,18,2033,0.8,60.48,2000,120960.0
27,8,Khaya ivorensis,123,0.3,86.1,18,2033,0.8,68.88,2000,137760.0
28,8,Plathymenia reticulata,7,0.3,4.9,30,2045,0.7,3.43,2000,6860.0
29,9,Cariniana legalis,28,0.1,25.2,35,2049,1.0,25.2,2000,50400.0
30,9,Dalbergia nigra,261,0.45,143.55,45,2059,0.6,86.13,5000,430650.0
31,9,Handroanthus serratifolius,66,0.1,59.4,45,2059,0.7,41.58,2500,103950.0
32,9,Khaya grandifoliola,1136,0.3,795.2,18,2032,0.8,636.16,2000,1272320.0
33,9,Khaya ivorensis,696,0.3,487.2,18,2032,0.8,389.76,2000,779520.0
34,9,Plathymenia reticulata,223,0.3,156.1,30,2044,0.7,109.27,2000,218540.0
35,11,Handroanthus serratifolius,2,0.1,1.8,45,2057,0.7,1.26,2500,3150.0
36,11,Khaya grandifoliola,2,0.3,1.4,18,2030,0.8,1.12,2000,2240.0
37,11,Khaya ivorensis,120,0.3,84.0,18,2030,0.8,67.2,2000,134400.0
38,11,Plathymenia reticulata,2,0.3,1.4,30,2042,0.7,0.98,2000,1960.0
